id,所学专业名称,毕业学校,前公司,行业名称,简历文本,岗位推荐Top3
1274.0,,其他,宜都市天力劳动和社会保险服务有限公司,居民服务、修理和其他服务业,1274.0 其他  宜都市天力劳动和社会保险服务有限公司 居民服务、修理和其他服务业,"['一线服务专员', '客服专员', '客户经理']"
1297.0,口腔医学类,湖北医药学院,夷陵区妇幼保健院,卫生和社会工作,1297.0 湖北医药学院 口腔医学类 夷陵区妇幼保健院 卫生和社会工作,"['客服专员', 'PLM高级产品经理', '客户经理']"
1302.0,计算机应用技术,湖北大学知行学院,枝江盟众商业管理有限公司,租赁和商务服务业,1302.0 湖北大学知行学院 计算机应用技术 枝江盟众商业管理有限公司 租赁和商务服务业,"['PLM高级产品经理', '客户经理', '高级人力产品经理']"
1304.0,投资经济管理,广东海洋大学,远安县实验小学,教育,1304.0 广东海洋大学 投资经济管理 远安县实验小学 教育,"['教师', '会计', 'PLM高级产品经理']"
1315.0,其他学科,其他,宜昌联盛高科机械设备制造有限公司,制造业,1315.0 其他 其他学科 宜昌联盛高科机械设备制造有限公司 制造业,"['PLM高级产品经理', '网络工程师', '高级人力产品经理']"
1324.0,其他学科,广西科技大学鹿山学院,枝江市宏鑫建设有限公司,建筑业,1324.0 广西科技大学鹿山学院 其他学科 枝江市宏鑫建设有限公司 建筑业,"['PLM高级产品经理', '高级人力产品经理', '新媒体主管']"
1327.0,,其他,湖北兴瑞硅材料有限公司,批发和零售业,1327.0 其他  湖北兴瑞硅材料有限公司 批发和零售业,"['PLM高级产品经理', '产品经理', '网络工程师']"
1331.0,护理学类,黄冈职业技术学院/2019,枝江张氏骨科医院有限公司,卫生和社会工作,1331.0 黄冈职业技术学院/2019 护理学类 枝江张氏骨科医院有限公司 卫生和社会工作,"['客服专员', '高级人力产品经理', 'PLM高级产品经理']"
1348.0,经济学类,中南财大武汉学院,枝江市港清水务有限公司,其他未列明国家机构,1348.0 中南财大武汉学院 经济学类 枝江市港清水务有限公司 其他未列明国家机构,"['高级人力产品经理', 'PLM高级产品经理', '销售经理']"
1364.0,理学,湖北文理学院理工学院,上海外服（武汉）人力资源服务有限公司宜昌分公司,租赁和商务服务业,1364.0 湖北文理学院理工学院 理学 上海外服（武汉）人力资源服务有限公司宜昌分公司 租赁和商务服务业,"['PLM高级产品经理', '一线服务专员', '高级人力产品经理']"
1370.0,其他学科,湖北三峡职业技术学院,宜昌市西陵区适美口腔门诊,卫生和社会工作,1370.0 湖北三峡职业技术学院 其他学科 宜昌市西陵区适美口腔门诊 卫生和社会工作,"['教师', '客服专员', 'PLM高级产品经理']"
1374.0,动物生产与兽医类,武汉轻工大学,宜昌市夷陵区小溪塔畜牧兽医服务中心,其他未列明国家机构,1374.0 武汉轻工大学 动物生产与兽医类 宜昌市夷陵区小溪塔畜牧兽医服务中心 其他未列明国家机构,"['营养师', '一线服务专员', '高级人力产品经理']"
1388.0,其他学科,武汉生物工程学院,宜昌枝江小丝广告文化传播有限公司,批发和零售业,1388.0 武汉生物工程学院 其他学科 宜昌枝江小丝广告文化传播有限公司 批发和零售业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1397.0,车辆工程,武汉商学院,广汽乘用车有限公司宜昌分公司,制造业,1397.0 武汉商学院 车辆工程 广汽乘用车有限公司宜昌分公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1430.0,其他学科,湖北财税职业学院,学无境教育,其他,1430.0 湖北财税职业学院 其他学科 学无境教育 其他,"['教师', '会计', '一线服务专员']"
1432.0,其他学科,华中科技大学武昌分校,宜昌宏图纸业有限公司,制造业,1432.0 华中科技大学武昌分校 其他学科 宜昌宏图纸业有限公司 制造业,"['PLM高级产品经理', '网络工程师', '高级人力产品经理']"
1433.0,环境类,三峡电力职业学院,湖北德点文化传播有限责任公司,租赁和商务服务业,1433.0 三峡电力职业学院 环境类 湖北德点文化传播有限责任公司 租赁和商务服务业,"['一线服务专员', 'PLM高级产品经理', '网络工程师']"
1440.0,其他学科,其他,宜昌天诚安家科技有限责任公司,科学研究和技术服务业,1440.0 其他 其他学科 宜昌天诚安家科技有限责任公司 科学研究和技术服务业,"['网络工程师', 'PLM高级产品经理', '数据科学家']"
1445.0,教育学类,湖北三峡职业技术学院/2018,湖北脑力波教育咨询有限公司,教育,1445.0 湖北三峡职业技术学院/2018 教育学类 湖北脑力波教育咨询有限公司 教育,"['新媒体主管', 'PLM高级产品经理', '教师']"
1448.0,工商管理类,东华理工大学,湖北宜琳机电有限公司,制造业,1448.0 东华理工大学 工商管理类 湖北宜琳机电有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '销售经理']"
1452.0,,三峡大学,远安县旧县镇旧县社区居民委员会,居民服务、修理和其他服务业,1452.0 三峡大学  远安县旧县镇旧县社区居民委员会 居民服务、修理和其他服务业,"['客服专员', '一线服务专员', '客户经理']"
1453.0,其他学科,湖北三峡职业技术学院/2014,湖北三宁化工股份有限公司,肥料制造,1453.0 湖北三峡职业技术学院/2014 其他学科 湖北三宁化工股份有限公司 肥料制造,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1460.0,会计学,武汉工程科技学院,湖北民康制药有限公司,制造业,1460.0 武汉工程科技学院 会计学 湖北民康制药有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1464.0,,电力职业技术学院,上海外服（武汉）人力资源服务有限公司,租赁和商务服务业,1464.0 电力职业技术学院  上海外服（武汉）人力资源服务有限公司 租赁和商务服务业,"['一线服务专员', 'PLM高级产品经理', '高级人力产品经理']"
1467.0,其他学科,大学本科,湖北元之洲建筑装饰工程有限公司,建筑业,1467.0 大学本科 其他学科 湖北元之洲建筑装饰工程有限公司 建筑业,"['网络工程师', '教师', '室内设计师']"
1468.0,材料类,长江大学,湖北三宁化工股份有限公司,肥料制造,1468.0 长江大学 材料类 湖北三宁化工股份有限公司 肥料制造,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1485.0,管理类,16湖北轻工职业技术学院,湖北三宁化工股份有限公司,肥料制造,1485.0 16湖北轻工职业技术学院 管理类 湖北三宁化工股份有限公司 肥料制造,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1546.0,其他学科,浙江绍兴文理学院,宜昌恒友化工股份有限公司,制造业,1546.0 浙江绍兴文理学院 其他学科 宜昌恒友化工股份有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1548.0,统计学,湖北经济学院,东城小学,教育,1548.0 湖北经济学院 统计学 东城小学 教育,"['教师', '会计', 'PLM高级产品经理']"
1552.0,工商管理类,海南大学,宜昌实得人力资源服务有限公司,人力资源服务,1552.0 海南大学 工商管理类 宜昌实得人力资源服务有限公司 人力资源服务,"['PLM高级产品经理', '高级人力产品经理', '客服专员']"
1555.0,其他学科,2011.06甘肃中医学院国际经济与贸易专业,宜昌市夷陵区综合行政执法指挥中心,公共管理、社会保障和社会组织,1555.0 2011.06甘肃中医学院国际经济与贸易专业 其他学科 宜昌市夷陵区综合行政执法指挥中心 公共管理、社会保障和社会组织,"['高级人力产品经理', 'PLM高级产品经理', '一线服务专员']"
1561.0,其他学科,长江大学/2018,宜昌泽美新材料有限公司,制造业,1561.0 长江大学/2018 其他学科 宜昌泽美新材料有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1562.0,会计学,武汉工商学院,枝江汉银村镇银行股份有限公司,金融业,1562.0 武汉工商学院 会计学 枝江汉银村镇银行股份有限公司 金融业,"['会计', '金融分析师', 'PLM高级产品经理']"
1564.0,文学,长江大学,宜昌楚能新能源创新科技有限公司,科学研究和技术服务业,1564.0 长江大学 文学 宜昌楚能新能源创新科技有限公司 科学研究和技术服务业,"['PLM高级产品经理', '高级人力产品经理', '网络工程师']"
1565.0,信息与电子科学类,华中师范大学,宜昌南玻硅材料有限公司,制造业,1565.0 华中师范大学 信息与电子科学类 宜昌南玻硅材料有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '网络工程师']"
1572.0,工商管理类,三峡大学科技学院,湖北金三峡印务有限公司,制造业,1572.0 三峡大学科技学院 工商管理类 湖北金三峡印务有限公司 制造业,"['高级人力产品经理', 'PLM高级产品经理', '销售经理']"
1573.0,其他学科,10荆州职业技术学院,宜昌国诚涂镀板有限公司,制造业,1573.0 10荆州职业技术学院 其他学科 宜昌国诚涂镀板有限公司 制造业,"['高级人力产品经理', 'PLM高级产品经理', '网络工程师']"
1576.0,其他学科,武汉理工大学,湖北好代账企业管理咨询有限公司,居民服务、修理和其他服务业,1576.0 武汉理工大学 其他学科 湖北好代账企业管理咨询有限公司 居民服务、修理和其他服务业,"['客服专员', '客户经理', '高级人力产品经理']"
1577.0,其他学科,三峡大学科技学院,宜昌市西陵区涂媛媛琴行,教育,1577.0 三峡大学科技学院 其他学科 宜昌市西陵区涂媛媛琴行 教育,"['教师', 'PLM高级产品经理', '高级人力产品经理']"
1600.0,其他学科,其他,宜都市天力劳动和社会保险服务有限公司,居民服务、修理和其他服务业,1600.0 其他 其他学科 宜都市天力劳动和社会保险服务有限公司 居民服务、修理和其他服务业,"['一线服务专员', '客服专员', 'HR专员']"
1602.0,会计学,三峡大学,宜昌优居社区服务有限公司,居民服务、修理和其他服务业,1602.0 三峡大学 会计学 宜昌优居社区服务有限公司 居民服务、修理和其他服务业,"['客服专员', '一线服务专员', '客户经理']"
1621.0,英语,东湖学院,宜昌市夷陵区直属机关幼儿园,教育,1621.0 东湖学院 英语 宜昌市夷陵区直属机关幼儿园 教育,"['教师', '客服专员', '一线服务专员']"
1624.0,,湖北学校,福建麦斯特管理咨询有限公司宜昌分公司,租赁和商务服务业,1624.0 湖北学校  福建麦斯特管理咨询有限公司宜昌分公司 租赁和商务服务业,"['一线服务专员', '客户经理', 'PLM高级产品经理']"
1638.0,英语,湖北民族学院/2018,宜昌市西陵区教育局,教育,1638.0 湖北民族学院/2018 英语 宜昌市西陵区教育局 教育,"['教师', '客服专员', '会计']"
1642.0,其他学科,黄冈科技职业学院,宜都市天力劳动和社会保险服务有限公司,居民服务、修理和其他服务业,1642.0 黄冈科技职业学院 其他学科 宜都市天力劳动和社会保险服务有限公司 居民服务、修理和其他服务业,"['一线服务专员', '网络工程师', '客服专员']"
1662.0,国际经济与贸易,湖北工业大学,宜昌市夷陵区东湖小学,教育,1662.0 湖北工业大学 国际经济与贸易 宜昌市夷陵区东湖小学 教育,"['教师', 'PLM高级产品经理', '高级人力产品经理']"
1667.0,其他学科,湖北交通职业技术学院,湖北兴瑞硅材料有限公司,批发和零售业,1667.0 湖北交通职业技术学院 其他学科 湖北兴瑞硅材料有限公司 批发和零售业,"['PLM高级产品经理', '网络工程师', '高级人力产品经理']"
1671.0,其他学科,武汉体育学院,湖北兴瑞硅材料有限公司,批发和零售业,1671.0 武汉体育学院 其他学科 湖北兴瑞硅材料有限公司 批发和零售业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1677.0,园艺技术,湖北生态工程职业技术学院,国药集团奥美（湖北）医疗用品有限公司,制造业,1677.0 湖北生态工程职业技术学院 园艺技术 国药集团奥美（湖北）医疗用品有限公司 制造业,"['高级人力产品经理', 'PLM高级产品经理', '产品经理']"
1685.0,机械设计及制造,重庆大学城市科技学院,武汉前锦众程人力资源有限公司宜昌分公司,其他未列明国家机构,1685.0 重庆大学城市科技学院 机械设计及制造 武汉前锦众程人力资源有限公司宜昌分公司 其他未列明国家机构,"['PLM高级产品经理', '高级人力产品经理', '网络工程师']"
1695.0,计算机应用技术,湖北三峡职业技术学院,宜昌楚鑫建设有限责任公司,建筑业,1695.0 湖北三峡职业技术学院 计算机应用技术 宜昌楚鑫建设有限责任公司 建筑业,"['PLM高级产品经理', '高级人力产品经理', '网络工程师']"
1706.0,会计,三峡大学科技学院,宜昌市伍家岗区联丰村公益性岗位专户,其他未列明国家机构,1706.0 三峡大学科技学院 会计 宜昌市伍家岗区联丰村公益性岗位专户 其他未列明国家机构,"['高级人力产品经理', 'PLM高级产品经理', '会计']"
1727.0,汉语言文学,三峡大学,宜昌市第十七中学,教育,1727.0 三峡大学 汉语言文学 宜昌市第十七中学 教育,"['教师', '客服专员', 'PLM高级产品经理']"
1733.0,,其他,宜都家合润商业有限公司,批发和零售业,1733.0 其他  宜都家合润商业有限公司 批发和零售业,"['产品经理', '一线服务专员', '销售经理']"
1737.0,,其他,宜昌东阳光长江药业股份有限公司,制造业,1737.0 其他  宜昌东阳光长江药业股份有限公司 制造业,"['PLM高级产品经理', '产品经理', '高级人力产品经理']"
1751.0,其他学科,武汉警官职业学院/2019,枝江市公安局,公共管理、社会保障和社会组织,1751.0 武汉警官职业学院/2019 其他学科 枝江市公安局 公共管理、社会保障和社会组织,"['新媒体主管', '法务专员', 'HR专员']"
1798.0,其他学科,湖北第二师范学院,奥美医疗用品股份有限公司,制造业,1798.0 湖北第二师范学院 其他学科 奥美医疗用品股份有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '厨师']"
1800.0,知识产权,中南民族大学,秭归县司法局,其他未列明国家机构,1800.0 中南民族大学 知识产权 秭归县司法局 其他未列明国家机构,"['法务专员', '一线服务专员', '教师']"
1809.0,其他学科,枝江市第二高级中学,枝江市林龙化工商贸有限公司,其他,1809.0 枝江市第二高级中学 其他学科 枝江市林龙化工商贸有限公司 其他,"['新媒体主管', '高级人力产品经理', '销售经理']"
1824.0,人力资源管理,三峡大学,宜昌市夷陵区综合行政执法指挥中心,公共管理、社会保障和社会组织,1824.0 三峡大学 人力资源管理 宜昌市夷陵区综合行政执法指挥中心 公共管理、社会保障和社会组织,"['高级人力产品经理', '客服专员', '一线服务专员']"
1833.0,其他学科,湖北科技学院,宜昌红旗中泰电缆有限公司,其他,1833.0 湖北科技学院 其他学科 宜昌红旗中泰电缆有限公司 其他,"['网络工程师', 'PLM高级产品经理', '一线服务专员']"
1859.0,其他学科,长阳县委党校,长阳土家族自治县国土资源局,其他未列明国家机构,1859.0 长阳县委党校 其他学科 长阳土家族自治县国土资源局 其他未列明国家机构,"['高级人力产品经理', 'PLM高级产品经理', '法务专员']"
1873.0,教育学,三峡大学,宜昌故得新教育培训学校有限公司,教育,1873.0 三峡大学 教育学 宜昌故得新教育培训学校有限公司 教育,"['教师', '高级人力产品经理', 'PLM高级产品经理']"
1881.0,教育学,华中师范大学传媒学院,宜昌楚派商贸有限公司,批发和零售业,1881.0 华中师范大学传媒学院 教育学 宜昌楚派商贸有限公司 批发和零售业,"['PLM高级产品经理', '新媒体主管', '高级人力产品经理']"
1885.0,,枝江二中,国药集团奥美（湖北）医疗用品有限公司,制造业,1885.0 枝江二中  国药集团奥美（湖北）医疗用品有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1927.0,其他学科,三峡大学,湖北兴瑞硅材料有限公司,批发和零售业,1927.0 三峡大学 其他学科 湖北兴瑞硅材料有限公司 批发和零售业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1956.0,电工类,三峡大学,宜都云来新材料科技有限公司,制造业,1956.0 三峡大学 电工类 宜都云来新材料科技有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
1978.0,会计,三峡大学科技学院,宜昌辉盈人力资源有限责任公司,居民服务、修理和其他服务业,1978.0 三峡大学科技学院 会计 宜昌辉盈人力资源有限责任公司 居民服务、修理和其他服务业,"['高级人力产品经理', '客服专员', '一线服务专员']"
1984.0,汉语言文学,三峡大学,宜昌市夷陵区实验初级中学,居民服务、修理和其他服务业,1984.0 三峡大学 汉语言文学 宜昌市夷陵区实验初级中学 居民服务、修理和其他服务业,"['教师', '客服专员', 'PLM高级产品经理']"
1998.0,其他学科,武汉工商学院,宜都中恒商贸有限公司,交通运输、仓储和邮政业,1998.0 武汉工商学院 其他学科 宜都中恒商贸有限公司 交通运输、仓储和邮政业,"['高级人力产品经理', 'PLM高级产品经理', '新媒体主管']"
2000.0,其他学科,湖北大学,湖北宜化化工股份有限公司,制造业,2000.0 湖北大学 其他学科 湖北宜化化工股份有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '新媒体主管']"
2017.0,其他学科,山西农业大学,宜都市木马人美术培训基地,教育,2017.0 山西农业大学 其他学科 宜都市木马人美术培训基地 教育,"['教师', '高级人力产品经理', 'PLM高级产品经理']"
2021.0,护理学类,湖北三峡职业技术学院/2018,枝江市同康妇产医院有限公司,其他,2021.0 湖北三峡职业技术学院/2018 护理学类 枝江市同康妇产医院有限公司 其他,"['新媒体主管', 'PLM高级产品经理', '高级人力产品经理']"
2065.0,其他学科,华中师范大学汉口分校,湖北华盛人力资源有限公司宜昌分公司,其他,2065.0 华中师范大学汉口分校 其他学科 湖北华盛人力资源有限公司宜昌分公司 其他,"['高级人力产品经理', 'PLM高级产品经理', '教师']"
2071.0,其他学科,湖北民族学院/2017,宜昌市海德外国语培训学校,其他,2071.0 湖北民族学院/2017 其他学科 宜昌市海德外国语培训学校 其他,"['教师', '客服专员', '软件开发工程师']"
2076.0,其他学科,武汉商贸职业学院/2017,枝江英杰学校,教育,2076.0 武汉商贸职业学院/2017 其他学科 枝江英杰学校 教育,"['教师', '高级人力产品经理', 'PLM高级产品经理']"
2085.0,其他学科,三职机电工程学院,宜昌双胞胎饲料有限公司,批发和零售业,2085.0 三职机电工程学院 其他学科 宜昌双胞胎饲料有限公司 批发和零售业,"['PLM高级产品经理', '电机结构工程师', '高级人力产品经理']"
2107.0,经济管理,三峡电力职业学院,宜昌采之林大药房零售连锁有限公司,批发和零售业,2107.0 三峡电力职业学院 经济管理 宜昌采之林大药房零售连锁有限公司 批发和零售业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
2120.0,护理学类,湖北三峡职业技术学院/2019,枝江张氏骨科医院有限公司,卫生和社会工作,2120.0 湖北三峡职业技术学院/2019 护理学类 枝江张氏骨科医院有限公司 卫生和社会工作,"['PLM高级产品经理', '新媒体主管', '客服专员']"
2124.0,其他学科,江西服装学院/2015,湖北丽橙连锁酒店有限公司枝江妙尚广场店,住宿和餐饮业,2124.0 江西服装学院/2015 其他学科 湖北丽橙连锁酒店有限公司枝江妙尚广场店 住宿和餐饮业,"['客户经理', 'PLM高级产品经理', '产品经理']"
2126.0,其他学科,武昌理工学院,湖北博霖建设工程有限公司,建筑业,2126.0 武昌理工学院 其他学科 湖北博霖建设工程有限公司 建筑业,"['PLM高级产品经理', '高级人力产品经理', '销售经理']"
2141.0,其他学科,黄冈科技职业学院/2017,宜昌市华昕职业技能培训学校有限公司,其他,2141.0 黄冈科技职业学院/2017 其他学科 宜昌市华昕职业技能培训学校有限公司 其他,"['教师', 'PLM高级产品经理', '高级人力产品经理']"
2147.0,经济学类,湖北民族学院科技学院,湖北兴福电子材料有限公司,制造业,2147.0 湖北民族学院科技学院 经济学类 湖北兴福电子材料有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '销售经理']"
2149.0,其他学科,湖北科技学院/2017,湖北三宁化工股份有限公司,肥料制造,2149.0 湖北科技学院/2017 其他学科 湖北三宁化工股份有限公司 肥料制造,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
2157.0,金融,内蒙古科技大学,中国建设银行股份有限公司三峡分行,金融业,2157.0 内蒙古科技大学 金融 中国建设银行股份有限公司三峡分行 金融业,"['金融分析师', '会计', 'PLM高级产品经理']"
2158.0,其他学科,十堰职业技术学院,宜昌名灏项目管理有限公司,建筑业,2158.0 十堰职业技术学院 其他学科 宜昌名灏项目管理有限公司 建筑业,"['PLM高级产品经理', '高级人力产品经理', '网络工程师']"
2159.0,其他学科,武汉科技大学城市学院,五峰土家族自治县乡村振兴局,公共管理、社会保障和社会组织,2159.0 武汉科技大学城市学院 其他学科 五峰土家族自治县乡村振兴局 公共管理、社会保障和社会组织,"['高级人力产品经理', '新媒体主管', '客服专员']"
2163.0,其他学科,湖北知行学院2017,华润雪花啤酒（武汉）有限公司宜昌分公司,制造业,2163.0 湖北知行学院2017 其他学科 华润雪花啤酒（武汉）有限公司宜昌分公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
2168.0,其他学科,长江大学工程技术学院,湖北冠毓新材料科技有限公司,制造业,2168.0 长江大学工程技术学院 其他学科 湖北冠毓新材料科技有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
2231.0,其他学科,其他,宜都市陆城街道社区网格管理综合服务中心,居民服务、修理和其他服务业,2231.0 其他 其他学科 宜都市陆城街道社区网格管理综合服务中心 居民服务、修理和其他服务业,"['客服专员', '一线服务专员', '网络工程师']"
2252.0,其他学科,其他,宜都市全方位废旧物资收购有限公司,制造业,2252.0 其他 其他学科 宜都市全方位废旧物资收购有限公司 制造业,"['会计', 'PLM高级产品经理', '物流专员']"
2292.0,法学,三峡大学科技学院,宜昌市伍家岗区爱佳快学教育培训学校有限公司,教育,2292.0 三峡大学科技学院 法学 宜昌市伍家岗区爱佳快学教育培训学校有限公司 教育,"['教师', '法务专员', 'PLM高级产品经理']"
2293.0,其他学科,三峡大学,五峰土家族自治县公安局,公共管理、社会保障和社会组织,2293.0 三峡大学 其他学科 五峰土家族自治县公安局 公共管理、社会保障和社会组织,"['法务专员', '教师', '一线服务专员']"
2294.0,高分子材料与工程,中北大学,湖北夷陵经济开发区管理委员会,公共管理、社会保障和社会组织,2294.0 中北大学 高分子材料与工程 湖北夷陵经济开发区管理委员会 公共管理、社会保障和社会组织,"['高级人力产品经理', 'PLM高级产品经理', '一线服务专员']"
2302.0,其他学科,湖北三峡职业技术学院/2016,湖北欢乐家食品有限公司,制造业,2302.0 湖北三峡职业技术学院/2016 其他学科 湖北欢乐家食品有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
2304.0,其他学科,西安交大,枝江市海津节能锅炉厂,制造业,2304.0 西安交大 其他学科 枝江市海津节能锅炉厂 制造业,"['厨师', '网络工程师', 'PLM高级产品经理']"
2339.0,,武汉商学院,枝江英杰学校,教育,2339.0 武汉商学院  枝江英杰学校 教育,"['教师', '客服专员', '高级人力产品经理']"
2341.0,历史学,武汉大学,宜昌市夷陵区实验初级中学,居民服务、修理和其他服务业,2341.0 武汉大学 历史学 宜昌市夷陵区实验初级中学 居民服务、修理和其他服务业,"['教师', '客服专员', '一线服务专员']"
2357.0,其他学科,武汉大学珞珈学院,湖北升思科技股份有限公司,信息传输、软件和信息技术服务业,2357.0 武汉大学珞珈学院 其他学科 湖北升思科技股份有限公司 信息传输、软件和信息技术服务业,"['网络工程师', 'PLM高级产品经理', '客服专员']"
2359.0,计算机及应用,三峡旅游职业技术学院,湖北三宁化工股份有限公司,肥料制造,2359.0 三峡旅游职业技术学院 计算机及应用 湖北三宁化工股份有限公司 肥料制造,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
2374.0,,其他,宜昌市晟达保安服务有限公司,居民服务、修理和其他服务业,2374.0 其他  宜昌市晟达保安服务有限公司 居民服务、修理和其他服务业,"['客服专员', '一线服务专员', '网络工程师']"
2376.0,艺术类(一),三峡职业技术学院,湖北宏达安劳务工程有限公司,居民服务、修理和其他服务业,2376.0 三峡职业技术学院 艺术类(一) 湖北宏达安劳务工程有限公司 居民服务、修理和其他服务业,"['高级人力产品经理', '一线服务专员', '客服专员']"
2377.0,其他学科,武汉东湖学院,宜昌市伍家岗区铭祺教育培训学校有限公司,居民服务、修理和其他服务业,2377.0 武汉东湖学院 其他学科 宜昌市伍家岗区铭祺教育培训学校有限公司 居民服务、修理和其他服务业,"['教师', '客服专员', '一线服务专员']"
2378.0,中国语言文学类,武汉职业技术学院,宜昌华智汽车销售服务有限公司,其他,2378.0 武汉职业技术学院 中国语言文学类 宜昌华智汽车销售服务有限公司 其他,"['新媒体主管', 'PLM高级产品经理', '客服专员']"
2384.0,,湖北枝江市第二高级中学,宜昌凯瑞达金属制品有限公司,制造业,2384.0 湖北枝江市第二高级中学  宜昌凯瑞达金属制品有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
2389.0,,三峡职业技术学院,宜昌中恒工程项目管理有限公司,科学研究和技术服务业,2389.0 三峡职业技术学院  宜昌中恒工程项目管理有限公司 科学研究和技术服务业,"['PLM高级产品经理', '高级人力产品经理', '网络工程师']"
2402.0,医学,湖北三峡职业技术学院,远安县中医医院,卫生和社会工作,2402.0 湖北三峡职业技术学院 医学 远安县中医医院 卫生和社会工作,"['PLM高级产品经理', '一线服务专员', '客服专员']"
2442.0,其他学科,吉林建筑大学,五峰土家族自治县乡村振兴局,公共管理、社会保障和社会组织,2442.0 吉林建筑大学 其他学科 五峰土家族自治县乡村振兴局 公共管理、社会保障和社会组织,"['教师', '网络工程师', '高级人力产品经理']"
2459.0,其他学科,武汉商学院,宜昌城市技工学校有限公司,教育,2459.0 武汉商学院 其他学科 宜昌城市技工学校有限公司 教育,"['教师', '客服专员', 'PLM高级产品经理']"
2489.0,,三峡工学院,湖北昀晟新型材料有限公司,批发和零售业,2489.0 三峡工学院  湖北昀晟新型材料有限公司 批发和零售业,"['PLM高级产品经理', '高级人力产品经理', '销售经理']"
2521.0,医学,2020/荆楚理工学院/口腔医学,宜昌市鑫阳人力资源服务有限公司,居民服务、修理和其他服务业,2521.0 2020/荆楚理工学院/口腔医学 医学 宜昌市鑫阳人力资源服务有限公司 居民服务、修理和其他服务业,"['客服专员', '一线服务专员', '高级人力产品经理']"
2524.0,,宜昌广播电视大学,武汉国安保安服务有限公司宜昌分公司,其他,2524.0 宜昌广播电视大学  武汉国安保安服务有限公司宜昌分公司 其他,"['新媒体主管', '客服专员', 'PLM高级产品经理']"
2526.0,版面编辑与校对,武汉信息传播职业技术学院,宜昌恒友化工股份有限公司,制造业,2526.0 武汉信息传播职业技术学院 版面编辑与校对 宜昌恒友化工股份有限公司 制造业,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
2534.0,,三峡大学,宜昌润诚物业管理有限公司,居民服务、修理和其他服务业,2534.0 三峡大学  宜昌润诚物业管理有限公司 居民服务、修理和其他服务业,"['客服专员', '一线服务专员', '高级人力产品经理']"
2554.0,其他学科,三峡大学,宜昌绿源饮品科技股份有限公司,批发和零售业,2554.0 三峡大学 其他学科 宜昌绿源饮品科技股份有限公司 批发和零售业,"['PLM高级产品经理', '产品经理', '高级人力产品经理']"
2564.0,,湖北学校,宜昌市西陵区唐家湾社区劳动保障服务站,其他未列明国家机构,2564.0 湖北学校  宜昌市西陵区唐家湾社区劳动保障服务站 其他未列明国家机构,"['网络工程师', '一线服务专员', 'HR专员']"
2573.0,护理学类,三峡大学,枝江市急救中心,卫生和社会工作,2573.0 三峡大学 护理学类 枝江市急救中心 卫生和社会工作,"['一线服务专员', '客服专员', '营养师']"
2590.0,文秘与办公自动化,湖北三峡职业技术学院,宜都市神墨培训学校有限公司,教育,2590.0 湖北三峡职业技术学院 文秘与办公自动化 宜都市神墨培训学校有限公司 教育,"['教师', '高级人力产品经理', 'PLM高级产品经理']"
2605.0,其他学科,武汉铁路桥梁职业学院,湖北宇跃商贸有限公司,其他,2605.0 武汉铁路桥梁职业学院 其他学科 湖北宇跃商贸有限公司 其他,"['高级人力产品经理', '客服专员', 'PLM高级产品经理']"
2612.0,建筑工程,湖北三峡职业技术学院,湖北三宁化工股份有限公司,肥料制造,2612.0 湖北三峡职业技术学院 建筑工程 湖北三宁化工股份有限公司 肥料制造,"['PLM高级产品经理', '高级人力产品经理', '产品经理']"
2624.0,其他学科,国家开放大学,湖北鋆隆建设工程有限公司,建筑业,2624.0 国家开放大学 其他学科 湖北鋆隆建设工程有限公司 建筑业,"['教师', '软件开发工程师', '网络工程师']"
